"EventNameEnglish","IsGeneralElection","ElectoralDistrictNumber","PollingDate","ResignedMPPName","NameOfCandidates","PoliticalInterestCode","TotalValidBallotsCast","PercentOfTotalValidBallotsCast","Plurality"
"2018 General Election",1,74,"2018-Jun-07","LIZ BEHRENS","Lesley Sprague","NDP",9424,0.165708357510858,0
"2018 General Election",1,74,"2018-Jun-07","LIZ BEHRENS","Emily de Sousa","GPO",1986,0.0349211373107559,0
"2018 General Election",1,11,"2018-Jun-07","JANICE BARBER","John Grant","TRI",337,0.00882915454950352,0
"2018 General Election",1,11,"2018-Jun-07","JANICE BARBER","Prabmeet Singh Sarkaria","PCP",15652,0.410071000026199,2733
"2018 General Election",1,11,"2018-Jun-07","JANICE BARBER","Brian Watson","LTN",363,0.00951033561266996,0
"2018 General Election",1,11,"2018-Jun-07","JANICE BARBER","Sukhwant Thethi","LIB",7212,0.188949147213707,0
"2018 General Election",1,11,"2018-Jun-07","JANICE BARBER","Paramjit Gill","NDP",12919,0.338468390578742,0
"2018 General Election",1,11,"2018-Jun-07","JANICE BARBER","Lindsay Falt","GPO",1472,0.0385653278838848,0
"2018 General Election",1,11,"2018-Jun-07","JANICE BARBER","Ted Harlson","FRE",214,0.00560664413529303,0
"2018 General Election",1,114,"2018-Jun-07","MARSHALL PORT","Andrew Allison","LTN",566,0.0104729479683221,0
"2018 General Election",1,114,"2018-Jun-07","MARSHALL PORT","Catherine Fife","NDP",27315,0.505421508400563,10342
"2018 General Election",1,114,"2018-Jun-07","MARSHALL PORT","Zdravko Gunjevic","GPO",2613,0.0483494930056991,0
"2018 General Election",1,114,"2018-Jun-07","MARSHALL PORT","Dorothy McCabe","LIB",6577,0.121697135667234,0
"2018 General Election",1,114,"2018-Jun-07","MARSHALL PORT","Dan Weber","PCP",16973,0.314058914958182,0
"2018 General Election",1,14,"2018-Jun-07","LINDA VAN AALST","Francesca Dobbyn","LIB",6041,0.12296450089562,0
"2018 General Election",1,14,"2018-Jun-07","LINDA VAN AALST","Karen Gventer","NDP",11837,0.240942028985507,0
"2018 General Election",1,14,"2018-Jun-07","LINDA VAN AALST","Janice Kaikkonen","CNS",261,0.00531265266243282,0
"2018 General Election",1,14,"2018-Jun-07","LINDA VAN AALST","Elizabeth Liz Marshall","TRI",552,0.0112359550561798,0
"2018 General Election",1,14,"2018-Jun-07","LINDA VAN AALST","Bill Walker","PCP",26874,0.547020029311187,15037
"2018 General Election",1,14,"2018-Jun-07","LINDA VAN AALST","Jay Miller","LTN",194,0.00394886826249796,0
"2018 General Election",1,14,"2018-Jun-07","LINDA VAN AALST","Enos Martin","OAL",442,0.00899690604136134,0
"2018 General Election",1,14,"2018-Jun-07","LINDA VAN AALST","Don B. Marshall","GPO",2927,0.0595790587852141,0
"2018 General Election",1,94,"2018-Jun-07","GERALD HENDERSON","Chris Mellor","TRI",441,0.0111071932299013,0
"2018 General Election",1,94,"2018-Jun-07","GERALD HENDERSON","Mazhar Shafiq","LIB",8791,0.221413459601048,0
"2018 General Election",1,94,"2018-Jun-07","GERALD HENDERSON","Christina Mitas","PCP",15266,0.384495264960709,2019
"2018 General Election",1,94,"2018-Jun-07","GERALD HENDERSON","Zeyd Bismilla","NDP",13247,0.333643965343542,0
"2018 General Election",1,94,"2018-Jun-07","GERALD HENDERSON","Matthew Dougherty","LTN",1040,0.0261938343743703,0
"2018 General Election",1,94,"2018-Jun-07","GERALD HENDERSON","Sanjin Zeco","GPO",919,0.0231462824904292,0
"2018 General Election",1,54,"2018-Jun-07","GEORGE MCINTYRE","Carol Dyck","GPO",2493,0.0460702603810545,0
"2018 General Election",1,54,"2018-Jun-07","GEORGE MCINTYRE","Kate Graham","LIB",8501,0.157097185519191,0
"2018 General Election",1,54,"2018-Jun-07","GEORGE MCINTYRE","Terence Devin Kernaghan","NDP",25757,0.475985437879992,9056
"2018 General Election",1,54,"2018-Jun-07","GEORGE MCINTYRE","Paul McKeever","FRE",234,0.0043242843678968,0
"2018 General Election",1,54,"2018-Jun-07","GEORGE MCINTYRE","Susan Truppe","PCP",16701,0.30863193687284,0
"2018 General Election",1,54,"2018-Jun-07","GEORGE MCINTYRE","Clara Sorrenti","COM",128,0.002365420508935,0
"2018 General Election",1,54,"2018-Jun-07","GEORGE MCINTYRE","Calvin McKay","LTN",299,0.00552547447009036,0
"2018 General Election",1,77,"2018-Jun-07","SHARON STEEL","Jennifer French","NDP",24301,0.448829950316754,1707
"2018 General Election",1,77,"2018-Jun-07","SHARON STEEL","Bob Chapman","PCP",22594,0.417302329017602,0
"2018 General Election",1,77,"2018-Jun-07","SHARON STEEL","Makini Smith","LIB",4278,0.0790129841346065,0
"2018 General Election",1,77,"2018-Jun-07","SHARON STEEL","Deborah Ellis","GPO",1957,0.0361450233640544,0
"2018 General Election",1,77,"2018-Jun-07","SHARON STEEL","Cheryl Kelly","NAP",490,0.00905010804720831,0
"2018 General Election",1,77,"2018-Jun-07","SHARON STEEL","Jeannette Gory","LTN",523,0.0096596051197754,0
"2018 General Election",1,8,"2018-Jun-07","MALCOLM CHING","Andrew Hosie","LTN",644,0.0191678076075957,0
"2018 General Election",1,8,"2018-Jun-07","MALCOLM CHING","Safdar Hussain","LIB",5825,0.173373415084231,0
"2018 General Election",1,8,"2018-Jun-07","MALCOLM CHING","Harjit Jaswal","PCP",12803,0.381064349068397,0
"2018 General Election",1,8,"2018-Jun-07","MALCOLM CHING","William Oprel","TRI",215,0.00639919042800166,0
"2018 General Election",1,8,"2018-Jun-07","MALCOLM CHING","Sara Singh","NDP",12892,0.383713316268826,89
"2018 General Election",1,8,"2018-Jun-07","MALCOLM CHING","Laila Zarrabi Yan","GPO",1053,0.0313411512590035,0
"2018 General Election",1,8,"2018-Jun-07","MALCOLM CHING","Mehdi Pakzad","NAP",166,0.00494077028394547,0
"2018 General Election",1,31,"2018-Jun-07","SUSAN CURTIS","Janet Errygers","GPO",2307,0.0447197022563387,0
"2018 General Election",1,31,"2018-Jun-07","SUSAN CURTIS","Glenn Langton","LTN",541,0.0104869349461115,0
"2018 General Election",1,31,"2018-Jun-07","SUSAN CURTIS","Roman Sarachman","TRI",238,0.00461347600217104,0
"2018 General Election",1,31,"2018-Jun-07","SUSAN CURTIS","Donna Skelly","PCP",22454,0.435256261146003,4824
"2018 General Election",1,31,"2018-Jun-07","SUSAN CURTIS","Judi Partridge","LIB",7967,0.154435139955028,0
"2018 General Election",1,31,"2018-Jun-07","SUSAN CURTIS","Rudy Miller","NAP",451,0.00874234318058463,0
"2018 General Election",1,31,"2018-Jun-07","SUSAN CURTIS","Melissa McGlashan","NDP",17630,0.341746142513763,0
"2018 General Election",1,71,"2018-Jun-07","PAULINE RENAUD","Kevin R. Brault","CNS",214,0.00586831930238297,0
"2018 General Election",1,71,"2018-Jun-07","PAULINE RENAUD","Tay Butt","LIB",3182,0.0872569720569282,0
"2018 General Election",1,71,"2018-Jun-07","PAULINE RENAUD","Jo-Ann Cardinal","PCP",8018,0.219870019469657,0
"2018 General Election",1,71,"2018-Jun-07","PAULINE RENAUD","James Chretien","LTN",220,0.00603285161927221,0
"2018 General Election",1,71,"2018-Jun-07","PAULINE RENAUD","France Gélinas","NDP",23157,0.635012477034031,15139
"2018 General Election",1,71,"2018-Jun-07","PAULINE RENAUD","Bill Crumplin","GPO",1137,0.0311788740505114,0
"2018 General Election",1,71,"2018-Jun-07","PAULINE RENAUD","Matthew del Papa","NRT",373,0.0102284256999479,0
"2018 General Election",1,71,"2018-Jun-07","PAULINE RENAUD","Bailey Burch-Belanger","NAP",166,0.00455206076726903,0
"2018 General Election",1,117,"2018-Jun-07","MAY LYNNE FONG","Stan Cho","PCP",17732,0.436254489986715,6917
"2018 General Election",1,117,"2018-Jun-07","MAY LYNNE FONG","Catherine Macdonald-Robertson","LTN",453,0.0111450081188801,0
"2018 General Election",1,117,"2018-Jun-07","MAY LYNNE FONG","Saman Tabasinejad","NDP",10481,0.257860552083846,0
"2018 General Election",1,117,"2018-Jun-07","MAY LYNNE FONG","David Zimmer","LIB",10815,0.266077842838164,0
"2018 General Election",1,117,"2018-Jun-07","MAY LYNNE FONG","Randi Ramdeen","GPO",932,0.0229296855779166,0
"2018 General Election",1,117,"2018-Jun-07","MAY LYNNE FONG","Birinder S Ahluwalia","IND",233,0.00573242139447916,0
"2018 General Election",1,34,"2018-Jun-07","CARL MAYNARD","Toby Barrett","PCP",28889,0.571007846935347,15280
"2018 General Election",1,34,"2018-Jun-07","CARL MAYNARD","Anne Faulkner","GPO",2095,0.0414088905579823,0
"2018 General Election",1,34,"2018-Jun-07","CARL MAYNARD","Wasyl Ivan Luczkiw","MUL",64,0.00126499713399086,0
"2018 General Election",1,34,"2018-Jun-07","CARL MAYNARD","Thecla Ross","FRE",160,0.00316249283497717,0
"2018 General Election",1,34,"2018-Jun-07","CARL MAYNARD","Christopher Rosser","LTN",251,0.00496116063487043,0
"2018 General Election",1,34,"2018-Jun-07","CARL MAYNARD","Dan Matten","LIB",4656,0.0920285414978357,0
"2018 General Election",1,34,"2018-Jun-07","CARL MAYNARD","Danielle du Sablon","NDP",13609,0.268989781195027,0
"2018 General Election",1,34,"2018-Jun-07","CARL MAYNARD","Carolyn Ritchie","PAU",52,0.00102781017136758,0
"2018 General Election",1,34,"2018-Jun-07","CARL MAYNARD","Dan Preston","NAP",817,0.0161484790386022,0
"2018 General Election",1,91,"2018-Jun-07","ROBERT MCKINLEY","Kathy Alexander","NDP",18995,0.373696635844973,0
"2018 General Election",1,91,"2018-Jun-07","ROBERT MCKINLEY","Bob Bailey","PCP",26811,0.527464096006295,7816
"2018 General Election",1,91,"2018-Jun-07","ROBERT MCKINLEY","Andy Bruziewicz","TRI",601,0.0118237261459768,0
"2018 General Election",1,91,"2018-Jun-07","ROBERT MCKINLEY","Fanina R. Kodre","NA",71,0.00139681290576431,0
"2018 General Election",1,91,"2018-Jun-07","ROBERT MCKINLEY","Kevin Shaw","GPO",1856,0.0365138697619516,0
"2018 General Election",1,91,"2018-Jun-07","ROBERT MCKINLEY","Neil Wereley","LIB",2246,0.0441865040330513,0
"2018 General Election",1,91,"2018-Jun-07","ROBERT MCKINLEY","Jeff Lozier","NAP",250,0.00491835530198701,0
"2018 General Election",1,103,"2018-Jun-07","KATHY RUSZALA","James Wendler","LTN",212,0.00586169712721541,0
"2018 General Election",1,103,"2018-Jun-07","KATHY RUSZALA","Jamie West","NDP",17386,0.480714463461166,8981
"2018 General Election",1,103,"2018-Jun-07","KATHY RUSZALA","Mila Chavez Wong","CNS",284,0.00785246218928857,0
"2018 General Election",1,103,"2018-Jun-07","KATHY RUSZALA","Troy Crowder","PCP",8405,0.23239417148229,0
"2018 General Election",1,103,"2018-Jun-07","KATHY RUSZALA","David Robinson","GPO",1504,0.0415848701855282,0
"2018 General Election",1,103,"2018-Jun-07","KATHY RUSZALA","Glenn Thibeault","LIB",8108,0.224182265601239,0
"2018 General Election",1,103,"2018-Jun-07","KATHY RUSZALA","J. David Popescu","IND",82,0.00226726020958332,0
"2018 General Election",1,103,"2018-Jun-07","KATHY RUSZALA","David Sylvestre","NAP",186,0.00514280974368899,0
"2018 General Election",1,80,"2018-Jun-07","RACHEL CRÊTE","Nathalie des Rosiers","LIB",20555,0.428604195337587,6323
"2018 General Election",1,80,"2018-Jun-07","RACHEL CRÊTE","Ken Lewis","LTN",332,0.0069227240502106,0
"2018 General Election",1,80,"2018-Jun-07","RACHEL CRÊTE","Sheilagh McLean","GPO",1955,0.0407648358980775,0
"2018 General Election",1,80,"2018-Jun-07","RACHEL CRÊTE","Fadi Nemr","PCP",10252,0.213770382417949,0
"2018 General Election",1,80,"2018-Jun-07","RACHEL CRÊTE","Lyra Evans","NDP",14232,0.296759664706618,0
"2018 General Election",1,80,"2018-Jun-07","RACHEL CRÊTE","Keegan Bennett","NAP",413,0.00861170190583427,0
"2018 General Election",1,80,"2018-Jun-07","RACHEL CRÊTE","David McGruer","FRE",219,0.00456649568372325,0
"2018 General Election",1,57,"2018-Jun-07","DARLENE MACARTNEY","Logan Kanapathi","PCP",18943,0.504500905507617,9783
"2018 General Election",1,57,"2018-Jun-07","DARLENE MACARTNEY","Juanita Nathan","LIB",9160,0.243954405028231,0
"2018 General Election",1,57,"2018-Jun-07","DARLENE MACARTNEY","Caryn Bergmann","GPO",859,0.0228773836156386,0
"2018 General Election",1,57,"2018-Jun-07","DARLENE MACARTNEY","Cindy Hackelberg","NDP",8010,0.213326941514861,0
"2018 General Election",1,57,"2018-Jun-07","DARLENE MACARTNEY","Jeff Kuah","IND",168,0.00447427293064876,0
"2018 General Election",1,57,"2018-Jun-07","DARLENE MACARTNEY","David Nadler","LTN",408,0.0108660914030042,0
"2018 General Election",1,120,"2018-Jun-07","SUZY LAREDO","Roman Baber","PCP",18434,0.501455346698947,9817
"2018 General Election",1,120,"2018-Jun-07","SUZY LAREDO","Benjamin Kamminga","LTN",398,0.0108266913304861,0
"2018 General Election",1,120,"2018-Jun-07","SUZY LAREDO","Roma Lyon","GPO",843,0.0229319115366829,0
"2018 General Election",1,120,"2018-Jun-07","SUZY LAREDO","Andrea Vásquez Jiménez","NDP",8617,0.234406028127635,0
"2018 General Election",1,120,"2018-Jun-07","SUZY LAREDO","Cherie Ann Day","NAP",467,0.0127036805309975,0
"2018 General Election",1,120,"2018-Jun-07","SUZY LAREDO","Ramon Estaris","LIB",7865,0.213949566116265,0
"2018 General Election",1,120,"2018-Jun-07","SUZY LAREDO","Alexander Leonov","MOD",137,0.00372677565898642,0
"2018 General Election",1,20,"2018-Jun-07","SEAN GRANEY","Khalid Ahmed","NDP",9937,0.27437391280338,0
"2018 General Election",1,20,"2018-Jun-07","SEAN GRANEY","Michael Coteau","LIB",13012,0.359278791727642,1028
"2018 General Election",1,20,"2018-Jun-07","SEAN GRANEY","Denzil Minnan-Wong","PCP",11984,0.330894331391336,0
"2018 General Election",1,20,"2018-Jun-07","SEAN GRANEY","Justin Robinson","LTN",236,0.00651627688654499,0
"2018 General Election",1,20,"2018-Jun-07","SEAN GRANEY","Mark Wong","GPO",917,0.0253196012922108,0
"2018 General Election",1,20,"2018-Jun-07","SEAN GRANEY","Wayne Simmons","FRE",131,0.00361708589888726,0
"2018 General Election",1,63,"2018-Jun-07","PATRICIA NOONAN","Rudy Cuzzetto","PCP",22520,0.423316227748642,3884
"2018 General Election",1,63,"2018-Jun-07","PATRICIA NOONAN","Boris Rosolak","NDP",9735,0.182992161506795,0
"2018 General Election",1,63,"2018-Jun-07","PATRICIA NOONAN","Charles Sousa","LIB",18636,0.350307336604072,0
"2018 General Election",1,63,"2018-Jun-07","PATRICIA NOONAN","Jay Ward","LTN",223,0.00419180811669392,0
"2018 General Election",1,63,"2018-Jun-07","PATRICIA NOONAN","Kenny Robinson","NAP",363,0.00682343653076185,0
"2018 General Election",1,63,"2018-Jun-07","PATRICIA NOONAN","Felicia Trigiani","VEP",150,0.00281960187221564,0
"2018 General Election",1,63,"2018-Jun-07","PATRICIA NOONAN","Lloyd Jones","GPO",1572,0.0295494276208199,0
"2018 General Election",1,37,"2018-Jun-07","CATHERINE COUSINS","Paul Miller","NDP",22518,0.511540208995911,9834
"2018 General Election",1,37,"2018-Jun-07","CATHERINE COUSINS","Lucina Monroy","NPC",240,0.00545206724216265,0
"2018 General Election",1,37,"2018-Jun-07","CATHERINE COUSINS","Brian Munroe","GPO",1884,0.0427987278509768,0
"2018 General Election",1,37,"2018-Jun-07","CATHERINE COUSINS","Linda Chenoweth","NAP",659,0.014970467969105,0
"2018 General Election",1,37,"2018-Jun-07","CATHERINE COUSINS","Akash Grewal","PCP",12684,0.288141753748296,0
"2018 General Election",1,37,"2018-Jun-07","CATHERINE COUSINS","Allan Deroo","LTN",715,0.0162426169922762,0
"2018 General Election",1,37,"2018-Jun-07","CATHERINE COUSINS","Jennifer Stebbing","LIB",5320,0.120854157201272,0
"2018 General Election",1,43,"2018-Jun-07","EDWARD WILSON","Peter D'Entremont","LTN",524,0.00980300450863375,0
"2018 General Election",1,43,"2018-Jun-07","EDWARD WILSON","Merrilee Fullerton","PCP",23089,0.431949563167643,7497
"2018 General Election",1,43,"2018-Jun-07","EDWARD WILSON","John Hansen","NDP",15592,0.291695508203468,0
"2018 General Election",1,43,"2018-Jun-07","EDWARD WILSON","Jack Maclaren","TRI",1947,0.0364245224776907,0
"2018 General Election",1,43,"2018-Jun-07","EDWARD WILSON","Andrew West","GPO",2827,0.0528875834845565,0
"2018 General Election",1,43,"2018-Jun-07","EDWARD WILSON","Stephanie Maghnam","LIB",9090,0.170055936991376,0
"2018 General Election",1,43,"2018-Jun-07","EDWARD WILSON","Robert Lebrun","NAP",384,0.00718388116663236,0
"2018 General Election",1,100,"2018-Jun-07","GRACE ISGRO-TOPPING","Jill Dunlop","PCP",25236,0.469166558218223,10158
"2018 General Election",1,100,"2018-Jun-07","GRACE ISGRO-TOPPING","Gerry Marshall","LIB",9523,0.177043633456655,0
"2018 General Election",1,100,"2018-Jun-07","GRACE ISGRO-TOPPING","Valerie Powell","GPO",3632,0.0675230995184889,0
"2018 General Election",1,100,"2018-Jun-07","GRACE ISGRO-TOPPING","Cynthia Sneath","LTN",320,0.00594917176374351,0
"2018 General Election",1,100,"2018-Jun-07","GRACE ISGRO-TOPPING","Elizabeth van Houtte","NDP",15078,0.28031753704289,0
"2018 General Election",1,123,"2018-Jun-07","CAM GREENE","Clifford Bull","PCP",1765,0.272502701868149,0
"2018 General Election",1,123,"2018-Jun-07","CAM GREENE","Christine Penner Polle","GPO",406,0.0626833410529566,0
"2018 General Election",1,123,"2018-Jun-07","CAM GREENE","Kenneth Jones","NRT",91,0.0140497143739386,0
"2018 General Election",1,123,"2018-Jun-07","CAM GREENE","Doug Lawrance","LIB",983,0.151767793731666,0
"2018 General Election",1,123,"2018-Jun-07","CAM GREENE","Sol Mamakwa","NDP",3232,0.49899644897329,1467
"2018 General Election",1,17,"2018-Jun-07","JUDY COSBY","Jean-Serge Brisson","LTN",386,0.00768036929444068,0
"2018 General Election",1,17,"2018-Jun-07","JUDY COSBY","Mark Dickson","NA",91,0.00181065700982928,0
"2018 General Election",1,17,"2018-Jun-07","JUDY COSBY","Goldie Ghamari","PCP",25798,0.513311313621712,14490
"2018 General Election",1,17,"2018-Jun-07","JUDY COSBY","Kevin Harris","CAP",110,0.00218870627561781,0
"2018 General Election",1,17,"2018-Jun-07","JUDY COSBY","Gordon Kubanek","GPO",1985,0.0394961996100123,0
"2018 General Election",1,17,"2018-Jun-07","JUDY COSBY","Theresa Qadri","LIB",9768,0.194357117274862,0
"2018 General Election",1,17,"2018-Jun-07","JUDY COSBY","Courtney Potter","NDP",11308,0.224999005133511,0
"2018 General Election",1,17,"2018-Jun-07","JUDY COSBY","Evan Nightingale","NAP",413,0.00821759719845596,0
"2018 General Election",1,17,"2018-Jun-07","JUDY COSBY","Jay Tysick","ONP",399,0.00793903458155915,0
"2018 General Election",1,40,"2018-Jun-07","CHRISTINE MCIVOR","Lonnie Herrington","TRI",320,0.00718761932571146,0
"2018 General Election",1,40,"2018-Jun-07","CHRISTINE MCIVOR","Daryl Kramp","PCP",22374,0.502549358729588,7933
"2018 General Election",1,40,"2018-Jun-07","CHRISTINE MCIVOR","Nate Smelle","NDP",14441,0.324363783383123,0
"2018 General Election",1,40,"2018-Jun-07","CHRISTINE MCIVOR","Tim Rigby","LIB",5180,0.116349587834954,0
"2018 General Election",1,40,"2018-Jun-07","CHRISTINE MCIVOR","Sari Watson","GPO",1924,0.0432155611958402,0
"2018 General Election",1,40,"2018-Jun-07","CHRISTINE MCIVOR","Greg Scholfield","LTN",282,0.00633408953078322,0
"2018 General Election",1,60,"2018-Jun-07","SHALINI ALLELUIA","Bobbie Daid","LIB",11102,0.25399222145962,0
"2018 General Election",1,60,"2018-Jun-07","SHALINI ALLELUIA","Laura Kaminker","NDP",12046,0.275589110043468,0
"2018 General Election",1,60,"2018-Jun-07","SHALINI ALLELUIA","Natalia Kusendova","PCP",17860,0.408602150537634,5814
"2018 General Election",1,60,"2018-Jun-07","SHALINI ALLELUIA","Alex Pacis","SNS",890,0.0203614733470602,0
"2018 General Election",1,60,"2018-Jun-07","SHALINI ALLELUIA","Farouk Giga","LTN",471,0.0107755662319835,0
"2018 General Election",1,60,"2018-Jun-07","SHALINI ALLELUIA","Viktor Chornopyskyy","MOD",192,0.00439258750857927,0
"2018 General Election",1,60,"2018-Jun-07","SHALINI ALLELUIA","Noah Gould","GPO",1149,0.0262868908716541,0
"2018 General Election",1,83,"2018-Jun-07","JAMES COOPER","Nadia Guerrera","LIB",9271,0.169957286109736,0
"2018 General Election",1,83,"2018-Jun-07","JAMES COOPER","Bhutila Karpoche","NDP",32407,0.594089717501696,22586
"2018 General Election",1,83,"2018-Jun-07","JAMES COOPER","Halyna Zalucky","GPO",2544,0.0466369685970412,0
"2018 General Election",1,83,"2018-Jun-07","JAMES COOPER","Adam Pham","PCP",9821,0.180039964069002,0
"2018 General Election",1,83,"2018-Jun-07","JAMES COOPER","Matthias Nunno","LTN",371,0.0068012245870685,0
"2018 General Election",1,83,"2018-Jun-07","JAMES COOPER","Jay Watts","COM",135,0.00247483913545619,0
"2018 General Election",1,3,"2018-Jun-07","LAWRENCE ALLISON","Santiago Amesh Desilva","NAP",218,0.00484465976265611,0
"2018 General Election",1,3,"2018-Jun-07","LAWRENCE ALLISON","Serge Korovitsyn","LTN",313,0.006955864705098,0
"2018 General Election",1,3,"2018-Jun-07","LAWRENCE ALLISON","Michael Parsa","PCP",25214,0.560336014933997,15496
"2018 General Election",1,3,"2018-Jun-07","LAWRENCE ALLISON","Naheed Yaqubian","LIB",9718,0.215965154006845,0
"2018 General Election",1,3,"2018-Jun-07","LAWRENCE ALLISON","Abu Alam","SRP",67,0.00148895506466954,0
"2018 General Election",1,3,"2018-Jun-07","LAWRENCE ALLISON","Margarita Barsky","MOD",86,0.00191119605315791,0
"2018 General Election",1,3,"2018-Jun-07","LAWRENCE ALLISON","Janusz Butylkin","FRE",71,0.0015778479043513,0
"2018 General Election",1,3,"2018-Jun-07","LAWRENCE ALLISON","Katrina Sale","NDP",8116,0.180363571714298,0
"2018 General Election",1,3,"2018-Jun-07","LAWRENCE ALLISON","Stephanie Nicole Duncan","GPO",1195,0.0265567358549269,0
"2018 General Election",1,26,"2018-Jun-07","CARRIE WOOLLEY","Dave Plumb","FRE",278,0.00526844429283453,0
"2018 General Election",1,26,"2018-Jun-07","CARRIE WOOLLEY","Amanda Stratton","NDP",16923,0.320711808516687,0
"2018 General Election",1,26,"2018-Jun-07","CARRIE WOOLLEY","Richard Styve","LTN",300,0.00568537153903007,0
"2018 General Election",1,26,"2018-Jun-07","CARRIE WOOLLEY","Jeff Yurek","PCP",29264,0.55458904239392,12341
"2018 General Election",1,26,"2018-Jun-07","CARRIE WOOLLEY","Bronagh Morgan","GPO",2029,0.0384520628423067,0
"2018 General Election",1,26,"2018-Jun-07","CARRIE WOOLLEY","Carlie Forsythe","LIB",3857,0.0730949267534633,0
"2018 General Election",1,26,"2018-Jun-07","CARRIE WOOLLEY","Henri Barrette","POB",116,0.00219834366175829,0
"2018 General Election",1,49,"2018-Jun-07","GLENN NORMAN","Amy Fee","PCP",16511,0.38864957747805,770
"2018 General Election",1,49,"2018-Jun-07","GLENN NORMAN","Nathan Andre Lajeunesse","LTN",423,0.009956923946049,0
"2018 General Election",1,49,"2018-Jun-07","GLENN NORMAN","Surekha Shenoy","LIB",6335,0.149118470917779,0
"2018 General Election",1,49,"2018-Jun-07","GLENN NORMAN","Narine Sookram","IND",275,0.00647317750629663,0
"2018 General Election",1,49,"2018-Jun-07","GLENN NORMAN","Fitzroy Vanderpool","NDP",15741,0.370524680460419,0
"2018 General Election",1,49,"2018-Jun-07","GLENN NORMAN","David Weber","GPO",3198,0.075277169691406,0
"2018 General Election",1,9,"2018-Jun-07","BRIDGE RAMDEWAR","Daniele Cerasoli","LTN",486,0.0126250162358748,0
"2018 General Election",1,9,"2018-Jun-07","BRIDGE RAMDEWAR","Raquel Fronte","GPO",523,0.0135861800233797,0
"2018 General Election",1,9,"2018-Jun-07","BRIDGE RAMDEWAR","Gurratan Singh","NDP",18062,0.469203792700351,5166
"2018 General Election",1,9,"2018-Jun-07","BRIDGE RAMDEWAR","Parminder Singh","LIB",6398,0.166203403039356,0
"2018 General Election",1,9,"2018-Jun-07","BRIDGE RAMDEWAR","Gurdeep Dhothar","TRI",130,0.00337706195609819,0
"2018 General Election",1,9,"2018-Jun-07","BRIDGE RAMDEWAR","Sudeep Verma","PCP",12896,0.335004546044941,0
"2018 General Election",1,66,"2018-Jun-07","MARY C MCGOLDRICK-LARSEN","Raphael Louis","NAP",351,0.00662801895877787,0
"2018 General Election",1,66,"2018-Jun-07","MARY C MCGOLDRICK-LARSEN","Lisa Macleod","PCP",23899,0.451290669788696,8789
"2018 General Election",1,66,"2018-Jun-07","MARY C MCGOLDRICK-LARSEN","Mark A. Snow","LTN",415,0.00783654663217327,0
"2018 General Election",1,66,"2018-Jun-07","MARY C MCGOLDRICK-LARSEN","Lovina Srivastava","LIB",10383,0.196064731763506,0
"2018 General Election",1,66,"2018-Jun-07","MARY C MCGOLDRICK-LARSEN","James O'Grady","GPO",2739,0.0517212077723436,0
"2018 General Election",1,66,"2018-Jun-07","MARY C MCGOLDRICK-LARSEN","Zaff Ansari","NDP",15110,0.285325830390694,0
"2018 General Election",1,66,"2018-Jun-07","MARY C MCGOLDRICK-LARSEN","Derrick Lionel Matthews","POB",60,0.00113299469380818,0
"2018 General Election",1,72,"2018-Jun-07","THOMAS MALLORY","Stephen Glass","LIB",2794,0.0792781545271401,0
"2018 General Election",1,72,"2018-Jun-07","THOMAS MALLORY","Vic Fedeli","PCP",17598,0.499333200919331,4604
"2018 General Election",1,72,"2018-Jun-07","THOMAS MALLORY","Henri Giroux","NDP",12994,0.368697329966234,0
"2018 General Election",1,72,"2018-Jun-07","THOMAS MALLORY","Trevor Holliday","NRT",738,0.0209403285758874,0
"2018 General Election",1,72,"2018-Jun-07","THOMAS MALLORY","Bond Keevil","LTN",122,0.00346168033368328,0
"2018 General Election",1,72,"2018-Jun-07","THOMAS MALLORY","Kris Rivard","GPO",997,0.0282893056777232,0
"2018 General Election",1,112,"2018-Jun-07","KELLY WALTERS","Jessica Bell","NDP",24537,0.496579778191532,13639
"2018 General Election",1,112,"2018-Jun-07","KELLY WALTERS","Daryl Christoff","NPC",284,0.00574759167813486,0
"2018 General Election",1,112,"2018-Jun-07","KELLY WALTERS","Jo-Ann Davis","LIB",10898,0.220553711648992,0
"2018 General Election",1,112,"2018-Jun-07","KELLY WALTERS","Tim Grant","GPO",2652,0.0536711729944143,0
"2018 General Election",1,112,"2018-Jun-07","KELLY WALTERS","Gillian Smith","PCP",10431,0.211102566178256,0
"2018 General Election",1,112,"2018-Jun-07","KELLY WALTERS","Ryan Swim","LTN",206,0.00416902776653444,0
"2018 General Election",1,112,"2018-Jun-07","KELLY WALTERS","Doug Macleod","IND",220,0.00445235975066785,0
"2018 General Election",1,112,"2018-Jun-07","KELLY WALTERS","Hilton Milan","PSN",78,0.00157856391160042,0
"2018 General Election",1,112,"2018-Jun-07","KELLY WALTERS","Paulo Figueiras","VEP",106,0.00214522787986723,0
"2018 General Election",1,86,"2018-Jun-07","EDWARD BOYNTON","Gianne Broughton","GPO",2024,0.0332949498272742,0
"2018 General Election",1,86,"2018-Jun-07","EDWARD BOYNTON","Sean Conway","NDP",20518,0.337522618851785,0
"2018 General Election",1,86,"2018-Jun-07","EDWARD BOYNTON","Jeff Leal","LIB",14946,0.245862806382629,0
"2018 General Election",1,86,"2018-Jun-07","EDWARD BOYNTON","Dave Smith","PCP",22904,0.37677249547623,2386
